peak;degree
-129;195
86;7
89;6
-95;187
95;7
93;7
92;8
94;9
-102;195
96;9
90;8
107;11
-103;192
105;9
76;6
102;10
-107;191
97;9
-90;193
80;9
-99;192
79;4
-108;195
105;16
-107;185
112;7
-118;186
96;3
-100;185
90;4
-112;189
110;9
-87;186
87;8
-110;195
111;11
-122;134
126;323
103;344
76;24
-139;156
-94;175
129;331
117;355
78;36
-126;161
-119;189
90;328
97;335
-112;165
76;340
78;347
-103;195
113;14
-106;196
95;5
-102;191
69;354
103;358
-102;176
97;354
102;351
-120;178
-99;221
106;343
105;3
114;33
-114;185
78;344
-105;172
105;353
-102;180
81;357
114;5
97;16
-103;203
82;9
-94;190
90;8
-99;187
116;14
98;7
-98;189
88;6
98;7
-110;194
98;8
89;4
90;6
-103;188
101;5
-128;197
89;3
-122;189
-83;178
102;0
-106;183
-102;202
97;357
-127;182
134;340
103;5
81;47
-118;166
-104;187
82;334
-118;165
88;352
-107;179
81;357
90;7
-95;192
96;4
-111;193
100;11
78;1
111;8
-119;196
86;6
-99;189
102;8
85;7
100;13
93;11
-95;191
81;8
-95;189
81;8
105;12
-118;198
87;9
-96;192
81;4
-103;196
80;6
-103;196
-110;185
95;4
110;8
-120;196
-99;188
103;8
-114;187
94;8
-98;187
82;6
-95;191
-99;192
81;7
-98;189
105;12
-104;189
100;11
113;10
-102;188
93;7
-106;194
82;2
-111;187
108;9
-98;189
97;8
103;9
-108;194
71;4
93;8
-106;191
93;7
-96;188
104;11
94;10
-111;190
85;359
-110;181
94;0
-114;183
94;0
97;357
-105;178
102;356
114;26
76;64
-98;172
110;356
-106;190
80;3
-98;183
89;1
93;357
-131;184
78;355
82;352
97;351
-106;177
-102;196
-112;225
69;10
-97;196
105;13
86;11
-112;193
74;6
105;11
88;9
-90;188
86;8
88;8
-106;192
118;177
127;204
71;246
-127;6
-103;27
117;182
113;206
-104;3
-114;22
76;162
117;185
100;207
74;247
-95;2
-107;24
120;185
105;210
112;171
-110;354
97;7
-94;187
86;6
-106;194
97;8
97;8
98;8
-115;194
94;8
-114;191
70;0
-114;192
84;6
90;13
-98;193
79;6
-111;193
-95;186
100;10
94;9
100;7
-135;192
-108;184
-94;169
121;356
86;12
-123;176
-114;169
-114;169
-108;169
113;356
102;33
-127;182
-102;202
-79;241
116;10
89;33
-87;164
-108;170
97;351
-87;168
94;352
-95;168
98;350
-95;170
86;350
102;351
-108;172
-112;171
-103;169
-111;171
-95;171
90;351
95;352
-91;168
102;353
-82;165
-111;173
113;359
-87;166
126;3
-98;170
-90;169
-87;167
-98;171
97;350
-87;169
103;353
-98;171
81;350
-111;171
-98;171
113;353
-107;170
111;357
-99;170
91;355
-87;168
-94;167
89;348
-82;166
-91;169
-80;167
-95;171
-87;168
-88;168
92;351
-107;171
86;356
-101;172
93;354
94;351
-78;169
89;352
-118;172
93;358
-79;164
-94;170
-74;166
86;350
-80;165
-84;168
-98;170
106;356
-99;170
106;355
-114;178
-127;201
-82;234
93;352
-111;176
-95;169
81;351
-91;167
122;2
-92;166
94;351
-112;169
112;352
-106;171
-84;169
97;352
-87;169
-119;172
118;357
-89;166
94;352
-102;168
102;354
-100;173
104;357
-86;165
-110;169
-95;169
117;356
-90;168
-146;195
-98;229
97;353
114;15
97;43
-106;174
-119;196
-98;232
114;11
94;35
-110;175
-89;206
110;5
98;25
-82;167
-115;169
95;348
-106;169
89;348
-87;166
100;354
-127;174
-140;200
-92;239
94;5
100;26
-79;163
-112;183
-121;210
110;1
97;18
78;47
-107;170
110;354
-90;169
105;355
-78;165
101;350
-106;170
120;357
113;48
-86;166
-110;183
-116;207
-86;249
112;2
126;26
-114;183
-102;204
-84;245
121;7
114;32
-119;179
-107;198
-96;234
96;353
119;15
97;42
97;353
-110;169
106;358
-97;170
-120;170
94;355
114;16
105;47
-90;166
-90;182
-124;205
97;358
124;22
-83;167
-130;189
-110;222
86;348
112;6
-102;168
112;355
-95;170
117;0
-102;171
121;353
-102;170
-108;170
103;352
-102;168
-96;169
-96;169
-98;170
94;348
88;350
-87;13
-104;14
87;193
-103;12
-74;7
106;194
-90;7
94;189
-97;7
94;192
-82;5
86;187
-108;358
106;188
-87;3
103;186
-106;4
90;187
-91;4
114;194
91;191
-107;14
101;196
-99;18
-86;161
86;345
-88;164
110;349
-108;169
-98;167
-119;171
129;357
-91;170
81;349
-95;170
101;353
-106;166
118;354
-126;175
81;347
-103;168
-96;169
-86;167
104;352
-114;172
90;351
-114;169
85;351
-111;167
133;355
-116;173
-82;246
-119;169
110;353
-114;170
102;352
120;353
-130;176
108;354
-94;167
-107;168
80;347
-114;172
-111;169
104;354
-119;173
-83;297
-130;170
-89;164
122;355
-108;170
118;352
-99;166
-91;166
-99;166
124;354
-103;172
-95;166
82;346
-107;170
-111;177
102;353
-110;168
-104;168
96;352
-83;161
-115;171
-79;277
110;352
82;348
-121;171
105;354
-126;175
-79;236
-96;167
121;354
86;347
-110;170
116;355
-104;169
105;350
-83;164
110;353
-84;163
-102;168
98;349
-111;169
-119;170
-110;169
-112;169
98;353
-103;169
-111;169
104;350
-88;167
114;356
-83;167
-92;166
102;350
-98;169
110;351
-90;171
-103;170
-98;168
78;348
-111;170
101;350
-83;167
-103;169
98;352
-98;169
102;352
-96;169
-85;167
-99;170
-84;167
-102;170
-94;166
89;350
-85;166
97;349
-90;168
89;357
-87;166
-106;170
-103;170
-94;170
96;353
-82;166
-100;169
-108;170
-103;169
113;0
-111;179
-114;200
-86;237
82;350
-82;167
84;350
-84;168
-96;168
-98;169
-112;170
104;354
-106;170
-99;169
-87;166
-90;168
-92;169
-79;164
-107;170
93;350
-104;170
88;349
-102;169
-83;165
-92;168
-83;167
-90;167
90;349
-111;171
-87;168
113;353
-103;170
86;351
-103;170
-86;166
84;350
-107;168
92;350
-95;170
97;357
-118;178
118;355
-122;175
-98;168
85;349
-111;171
-102;171
98;354
82;347
-111;171
105;353
-105;170
105;353
-114;177
-87;227
78;351
-106;168
118;352
-90;172
-103;168
109;357
94;352
-102;166
-99;168
-87;168
94;349
-114;169
81;354
-103;171
101;357
-116;171
-87;167
-112;171
-98;170
118;356
-138;178
-139;204
-82;244
105;3
102;23
-108;174
-101;168
82;346
-108;169
111;352
-111;171
99;351
-98;169
86;345
-103;169
105;353
-84;166
86;346
-108;168
-95;166
117;355
-110;170
114;354
-106;176
108;354
-111;168
94;349
-111;170
-119;169
142;359
101;35
-111;169
-138;192
-126;224
109;0
103;21
-102;169
113;354
-95;167
-112;168
-95;167
-97;167
-102;167
-110;168
-87;165
112;350
-100;167
96;348
-106;168
106;355
-106;168
110;355
-110;169
-115;169
128;358
-96;167
85;347
-98;168
-79;163
-103;167
108;351
-95;166
113;347
-102;166
130;356
-98;161
-110;168
105;350
-119;170
-88;186
114;14
-97;186
-110;192
112;12
93;10
-102;189
76;4
-83;189
86;8
-92;186
104;10
-91;189
86;6
-122;195
104;12
-103;199
106;12
-110;199
78;10
97;10
97;11
110;11
105;10
101;11
94;10
-91;189
102;12
94;13
-94;189
-107;191
106;12
90;11
-102;188
102;12
-104;193
-118;193
86;4
-107;197
102;12
-112;200
98;13
105;10
-103;194
108;12
-95;185
78;7
-110;192
94;9
-82;189
97;10
-90;190
114;11
-122;194
86;7
-102;190
89;10
94;12
-102;200
117;13
105;11
-123;195
102;10
78;7
102;10
102;12
104;12
107;10
-103;193
97;11
89;9
-103;192
95;11
111;10
102;10
-106;190
101;10
86;8
-98;189
104;11
-115;193
84;6
-96;188
94;8
109;13
109;11
-91;190
96;11
-111;192
102;10
122;13
102;10
96;10
90;8
89;9
93;8
108;12
101;8
-98;188
82;6
-112;200
102;15
-106;194
102;9
98;12
90;9
109;10
100;10
117;13
-127;198
89;9
97;10
97;10
97;10
-103;191
101;11
-87;189
98;10
88;10
-95;190
97;10
114;13
108;10
97;10
107;13
-114;200
102;10
102;12
-96;187
-84;189
82;7
-105;191
90;10
-123;195
92;10
77;6
96;9
109;11
97;12
110;11
101;11
-132;202
76;12
75;7
111;12
113;13
81;8
-111;197
102;12
103;13
106;13
114;13
109;12
110;13
-119;199
103;12
-118;196
113;12
108;12
95;9
-95;185
112;12
110;12
112;11
106;12
-132;197
74;0
-118;195
114;15
-119;190
104;14
110;12
105;12
-126;199
-114;189
90;6
-104;191
102;9
72;101
-111;198
113;13
-110;193
98;9
101;10
-89;192
78;7
-107;191
-102;192
104;10
-118;199
73;9
93;9
-106;192
90;7
-96;191
-90;191
90;10
-110;194
84;10
-105;191
81;9
-98;190
82;8
-88;188
88;10
89;9
-100;191
85;9
98;9
80;6
96;9
-92;191
94;10
-110;195
74;358
114;19
-110;197
86;9
-104;192
89;9
-96;190
74;5
-114;192
89;9
105;12
76;6
97;11
-116;193
96;11
-100;192
90;11
-103;191
82;9
-98;191
86;9
-103;192
-103;191
-112;191
102;12
-96;192
89;9
-121;198
-98;192
108;13
-104;193
92;11
86;7
-100;195
80;8
-100;192
-111;178
-98;177
-90;176
-106;175
-83;176
-79;173
-86;174
-86;174
-82;175
-91;175
-111;179
-110;181
-79;175
-95;178
-110;179
-99;180
-110;179
-103;180
-83;176
-86;177
-103;179
-102;181
-87;174
-106;182
-98;181
-107;182
-110;182
-130;185
-111;181
-96;176
-106;180
-123;184
-111;180
-92;176
-95;180
84;358
-82;178
105;0
-107;183
-94;179
-95;180
-103;180
-117;183
114;9
-117;188
134;11
133;33
-91;179
-122;200
-114;222
-84;261
138;13
113;32
-120;185
-117;204
-93;221
122;13
136;39
-101;179
-126;202
-103;219
-86;257
113;13
133;37
-119;184
-134;205
-90;224
-87;259
108;12
124;34
-106;182
98;0
-90;212
-90;173
-106;190
-104;181
96;2
-130;186
94;2
-122;188
-87;178
104;2
98;2
-80;173
-114;190
90;2
-106;184
-79;178
101;2
-103;184
-95;181
113;4
-98;181
108;3
-90;175
-116;193
-139;219
-87;248
117;22
87;38
-86;178
-136;199
-108;220
102;3
-89;175
-111;191
-130;216
-94;243
97;6
-84;177
-98;183
106;3
-103;182
98;4
-108;189
-114;209
-111;243
-138;192
96;3
105;3
-92;174
101;2
82;3
-94;182
93;3
-100;186
-83;178
105;2
-87;182
105;3
-111;186
-106;185
102;4
102;3
-114;185
110;5
-128;192
-76;180
104;4
92;4
-127;188
124;12
122;35
-103;185
-102;203
-94;220
-87;256
-86;174
-114;194
-83;182
-106;185
93;3
-85;174
97;5
-100;192
-102;186
-88;178
-110;186
102;6
-87;185
100;4
-91;184
90;4
-103;190
-123;188
-110;187
-117;187
113;6
-86;177
90;5
-106;184
94;3
-92;184
101;4
-114;191
-100;184
-106;187
-87;181
105;4
-124;192
-90;183
96;4
-93;181
105;5
-106;186
89;4
-111;188
84;2
-86;183
90;3
90;4
-106;187
112;5
-94;306
-86;182
96;5
-126;193
98;5
-126;189
97;9
-119;188
-79;183
-103;189
118;8
104;5
-127;190
-98;186
105;6
-123;192
-82;180
97;6
105;7
-113;189
-91;183
-87;183
87;4
-82;174
-123;196
102;16
121;39
-94;182
-128;202
-94;218
-84;237
-98;185
-87;184
98;4
-123;190
-95;186
106;6
90;6
92;6
-79;177
-106;187
-95;182
91;6
101;6
-90;177
86;5
94;6
-121;188
106;5
-133;193
-83;181
104;7
-107;184
-87;183
102;5
-119;193
126;17
-96;179
97;357
94;357
-95;177
-83;175
96;359
-90;175
108;358
-79;174
105;358
-96;177
105;0
-102;184
102;357
106;0
-90;177
86;358
-87;174
86;357
-100;177
102;358
-102;179
94;356
-91;170
-124;192
100;358
-83;168
-95;185
-98;177
106;359
-126;188
-106;179
108;2
111;0
-87;174
102;359
-83;170
-91;182
126;3
-120;188
