peak;degree
93;237
95;254
121;262
95;278
90;216
101;269
102;212
96;233
98;222
91;286
97;233
97;210
96;314
104;275
94;244
95;213
98;249
100;234
94;301
93;226
90;257
101;242
97;198
93;214
96;275
97;276
95;269
90;250
92;286
95;201
124;289
102;293
122;282
117;290
94;281
93;250
97;237
95;266
105;278
94;252
100;254
118;256
97;222
102;255
98;251
96;237
105;203
96;235
104;302
98;297
94;294
92;265
100;236
94;232
97;276
104;307
105;262
97;201
100;244
98;220
106;287
90;272
92;274
102;258
94;235
97;256
92;300
96;273
96;274
102;250
93;289
98;230
100;256
102;230
97;288
94;237
96;242
98;219
94;271
98;269
89;286
100;236
100;280
96;250
89;261
102;245
97;265
95;291
97;253
97;227
94;297
95;253
92;259
100;223
102;278
94;225
94;272
97;271
98;271
102;275
97;289
99;254
98;193
93;260
100;273
101;203
98;290
122;262
98;232
97;275
94;240
98;294
94;284
91;272
92;265
102;246
96;248
97;214
114;265
100;270
110;200
105;276
98;270
102;230
116;185
94;246
90;284
94;248
90;246
100;237
101;245
92;244
100;242
98;264
92;245
96;248
96;265
98;245
86;259
94;260
94;233
94;269
96;283
89;246
89;306
94;283
96;225
97;240
93;259
119;270
94;245
97;232
122;202
102;218
98;291
96;231
96;238
102;243
94;205
102;238
98;228
95;234
105;288
104;262
122;192
94;253
94;276
97;249
101;298
119;258
107;260
95;292
89;263
119;247
94;221
97;258
103;295
105;273
105;258
96;269
98;223
97;252
95;323
98;263
98;291
101;229
97;252
112;209
89;292
97;228
86;272
95;281
90;215
97;219
89;289
105;278
98;193
94;236
101;234
104;253
90;312
102;303
94;265
97;225
95;184
102;224
101;290
98;245
98;287
96;223
100;224
96;258
97;305
120;292
95;280
90;292
96;253
100;214
94;227
94;298
94;291
114;268
94;202
89;221
94;235
102;218
97;217
96;285
96;249
95;241
95;209
93;237
94;273
118;272
90;258
89;221
94;285
97;276
100;289
98;223
94;296
108;265
97;206
100;246
95;188
98;251
113;274
101;249
93;257
98;258
95;239
88;256
90;244
88;256
94;282
92;259
94;280
113;286
96;258
95;246
98;241
94;241
103;292
125;245
110;283
89;251
86;288
90;236
100;262
89;296
90;216
106;284
86;248
108;249
96;292
97;258
91;251
86;261
120;294
98;276
102;243
116;320
102;243
97;206
104;291
97;279
94;254
90;337
89;281
114;299
91;311
105;261
118;213
88;279
113;293
128;248
111;288
94;287
105;225
105;309
113;233
104;227
89;161
88;335
101;359
94;267
110;253
91;270
93;286
114;282
92;251
94;304
107;249
96;214
102;261
102;253
94;239
94;287
96;269
90;236
89;289
101;285
94;249
90;285
92;236
109;231
102;308
93;231
102;272
121;289
93;288
98;248
98;320
94;293
94;288
98;293
103;249
113;240
87;302
94;199
97;250
91;284
117;287
98;259
90;307
93;250
94;224
96;331
97;319
101;211
94;292
93;308
94;300
100;330
90;318
97;197
89;319
114;297
95;297
109;279
96;272
86;287
89;329
102;213
118;199
100;284
85;267
94;235
97;312
90;279
94;225
90;318
90;259
94;205
100;288
122;300
98;238
98;232
96;276
97;237
98;259
94;261
88;208
96;313
89;212
94;213
90;279
106;246
89;224
86;324
94;287
97;296
95;329
106;276
90;198
89;207
94;252
94;245
94;293
94;265
100;197
96;223
106;284
105;251
121;236
97;328
97;223
100;199
111;247
90;257
94;256
90;278
94;259
125;244
89;259
114;211
89;225
96;294
99;263
90;246
94;279
100;252
96;247
96;301
90;289
90;216
101;283
96;292
134;247
97;319
121;293
90;222
90;279
94;264
94;251
109;304
94;268
97;229
93;301
104;233
96;223
101;278
86;253
92;241
111;290
97;235
100;252
89;202
94;232
89;256
86;279
98;265
114;226
89;310
97;285
93;226
97;303
88;313
95;190
89;287
92;287
89;253
100;287
100;289
94;286
102;273
100;247
90;282
90;292
118;289
105;341
118;328
105;186
92;317
89;210
96;233
120;306
88;267
97;226
117;322
105;262
97;209
97;283
101;245
105;265
94;305
90;270
89;225
94;289
101;299
92;268
93;237
98;292
97;255
103;236
100;330
112;303
94;279
94;267
94;202
101;237
96;228
97;270
102;213
100;293
91;246
94;233
102;252
96;205
98;253
101;273
98;280
93;274
102;314
110;250
101;257
114;228
97;240
100;290
97;286
95;248
120;278
102;248
101;220
97;288
105;243
102;265
102;242
121;262
108;265
89;287
106;295
94;287
96;276
92;280
98;247
98;296
100;253
98;225
94;246
93;246
96;234
97;242
100;275
96;237
110;250
102;254
94;224
90;240
102;274
97;283
100;240
96;250
97;252
100;253
95;292
93;285
98;292
100;259
116;244
102;235
97;294
108;212
100;288
104;306
97;267
101;282
98;189
102;292
110;274
101;247
93;240
96;225
98;239
98;296
90;273
97;237
92;225
95;254
101;235
97;282
101;266
102;272
104;286
96;229
102;238
105;282
90;285
98;279
100;252
94;264
97;253
92;298
98;245
98;251
92;274
89;238
102;282
106;278
114;244
106;293
96;247
128;254
96;245
97;220
94;270
94;255
98;259
97;282
94;222
96;201
101;217
102;265
100;227
95;285
96;242
101;221
102;258
116;271
98;285
102;284
96;269
97;283
96;246
97;295
89;221
97;250
97;212
106;188
98;263
100;297
98;300
94;278
102;249
97;231
90;239
104;289
102;252
98;230
101;233
94;244
98;214
98;266
98;265
102;267
97;208
98;234
97;240
98;255
100;258
89;299
116;262
97;281
93;238
100;311
97;205
98;207
93;248
103;211
104;230
96;285
94;256
103;207
109;245
92;255
95;283
94;217
97;250
97;285
98;253
102;246
102;211
98;255
94;261
94;210
103;246
95;223
98;208
95;231
101;211
98;276
102;297
94;232
91;258
94;267
98;210
97;256
97;230
96;220
102;250
89;236
94;250
97;251
102;277
97;218
105;269
97;226
92;279
108;280
93;260
99;190
97;244
97;309
100;277
103;202
98;234
89;234
86;277
121;283
98;269
97;304
97;295
133;286
90;262
102;241
105;262
100;251
98;241
97;217
89;278
103;264
102;262
104;260
94;207
97;272
108;198
95;235
90;214
107;225
97;221
102;260
97;234
94;218
98;281
97;284
103;275
94;282
101;264
94;228
90;276
86;295
97;252
94;255
97;267
92;220
93;296
97;257
94;249
96;237
91;229
94;251
105;249
89;258
101;280
102;255
89;228
95;247
98;273
90;295
90;233
89;286
102;253
101;273
90;289
90;236
89;254
86;215
121;265
118;286
100;288
96;258
98;300
97;289
97;298
96;295
105;295
101;305
95;294
98;287
93;295
86;289
94;285
105;287
89;293
97;243
92;233
106;254
97;252
94;255
94;254
97;245
89;240
95;288
97;282
85;247
93;280
89;251
102;277
110;261
94;224
100;250
101;278
94;290
100;251
91;286
91;289
90;287
92;283
103;288
89;294
86;260
113;233
88;252
97;252
97;272
90;282
99;292
90;257
119;304
95;307
106;305
102;295
88;234
90;228
86;265
97;201
94;245
93;272
90;278
90;221
95;267
113;247
114;248
98;281
114;195
94;280
89;195
89;216
120;246
95;229
101;255
93;291
90;250
92;231
90;284
104;287
94;250
96;278
92;256
96;266
92;281
90;289
103;284
86;230
118;279
86;241
98;239
94;260
116;240
97;241
89;286
95;269
97;191
85;245
93;230
91;246
95;278
96;289
94;246
98;292
105;243
99;240
103;257
94;232
130;223
94;250
97;257
94;231
94;297
108;230
97;238
97;259
94;288
89;287
93;249
90;199
82;299
94;273
94;243
122;306
89;249
89;224
94;254
90;246
105;254
102;244
93;232
97;260
87;223
118;239
142;231
94;259
110;249
102;229
106;256
91;217
94;240
90;244
96;284
103;270
94;234
94;248
94;227
106;246
98;247
93;249
92;232
92;257
92;290
86;271
89;259
93;272
94;250
90;253
103;302
96;283
105;289
89;291
98;284
97;245
93;283
94;280
102;240
100;253
98;203
103;268
104;261
97;255
100;223
91;274
95;232
93;257
94;286
87;239
98;268
101;289
96;276
97;286
99;232
105;256
93;258
99;289
94;253
90;242
113;246
105;256
113;230
96;234
96;237
96;202
94;313
94;254
91;213
91;252
89;255
92;244
94;268
102;196
102;242
93;239
91;257
89;258
90;193
86;236
97;252
90;213
89;299
93;302
94;281
97;257
103;258
122;237
93;293
98;294
95;238
92;274
93;261
89;247
97;237
90;250
93;240
94;278
102;286
101;270
98;273
97;287
101;246
94;260
93;241
96;259
94;339
94;195
98;350
94;291
90;272
97;248
104;297
94;299
98;238
103;204
100;269
97;245
100;207
96;196
103;249
97;215
97;267
94;280
94;285
106;284
104;266
96;223
107;194
97;232
103;214
97;276
96;204
95;243
97;256
98;258
95;212
96;271
98;209
102;234
97;285
99;212
102;253
97;251
100;284
98;294
93;231
94;251
108;222
95;227
89;260
96;241
99;279
90;211
96;238
100;221
94;289
102;288
97;267
102;257
101;283
95;268
98;223
97;292
101;202
86;211
94;288
94;219
100;204
97;286
97;247
95;201
97;248
91;256
94;257
94;215
98;212
100;199
98;289
89;260
95;247
97;267
94;218
93;198
90;261
98;260
98;291
94;243
86;206
106;202
95;247
97;299
96;249
97;205
106;246
96;259
101;255
95;285
100;287
97;210
104;193
93;191
97;214
86;217
96;268
96;236
96;293
102;208
116;230
108;284
94;252
93;279
102;266
95;255
122;253
94;267
97;254
101;247
98;202
93;294
98;289
100;296
92;224
122;276
97;226
97;262
100;202
95;252
98;231
94;215
98;256
94;273
121;257
87;231
99;215
94;223
92;240
102;293
101;204
95;191
98;279
91;207
100;279
97;283
102;251
94;280
92;302
101;257
101;284
97;207
96;254
101;273
92;251
96;293
102;274
105;194
95;284
95;246
95;260
95;200
101;215
113;260
100;288
90;244
86;267
94;234
94;268
101;240
95;269
101;217
97;257
117;285
90;248
97;263
96;215
110;259
-234;80
98;278
108;290
91;234
89;296
96;268
98;200
98;290
108;195
96;264
98;187
98;201
94;49
94;202
93;209
89;249
97;278
93;295
106;272
94;261
90;279
97;276
97;274
102;220
94;190
89;220
105;266
93;243
112;298
101;197
97;258
102;286
93;275
98;275
97;300
110;283
94;205
110;209
100;278
118;266
90;249
96;258
106;276
97;245
94;299
96;278
95;194
93;295
102;197
94;197
97;273
98;222
102;237
113;211
97;247
98;271
94;286
96;221
98;227
97;259
94;220
95;247
93;220
102;286
121;190
100;265
90;207
96;214
93;203
182;124
373;37
268;40
118;49
105;262
95;239
98;304
110;284
97;255
102;245
95;228
93;254
110;255
101;266
89;154
113;0
92;230
94;284
97;278
97;256
97;290
99;252
95;276
92;238
90;285
89;247
97;191
102;358
94;303
94;287
96;237
100;245
96;291
90;251
97;272
90;258
90;279
111;255
94;300
88;247
93;222
102;286
98;286
94;248
92;310
96;271
94;200
105;249
94;282
89;258
86;276
95;268
106;250
102;308
86;242
93;223
89;319
93;319
106;220
101;204
114;234
93;255
89;250
90;206
116;276
96;290
97;291
108;232
109;294
112;235
96;186
92;289
99;265
90;250
97;224
102;228
94;232
96;272
85;228
89;271
92;278
97;230
94;270
93;229
88;234
101;262
95;292
100;225
98;285
88;253
93;243
90;223
86;286
94;288
113;253
99;255
92;260
96;272
89;275
89;235
101;251
96;235
109;292
102;238
92;238
97;226
91;246
105;271
89;296
96;252
92;288
97;242
94;232
97;286
88;240
95;281
100;285
88;275
104;254
94;289
86;224
90;254
97;238
90;236
94;197
97;240
90;250
94;283
89;290
102;241
97;232
101;266
98;280
98;296
94;250
104;283
97;224
95;212
102;267
100;223
89;236
110;279
98;220
110;249
102;247
97;258
94;256
95;226
100;231
90;309
97;281
93;223
