peak;degree
137;265
177;265
134;264
129;263
141;265
133;265
136;265
140;265
141;263
133;267
145;268
150;267
138;268
136;270
130;271
150;269
134;272
136;273
133;274
138;274
142;273
130;275
136;278
146;278
130;278
148;280
143;282
144;283
148;283
182;282
134;282
151;283
142;284
138;282
138;282
138;284
137;284
134;283
166;283
143;282
134;284
144;283
138;281
153;284
147;285
134;284
146;281
144;282
154;283
138;284
138;283
137;283
148;284
150;283
178;285
132;284
142;283
137;284
144;283
138;284
137;284
145;282
134;285
145;284
162;282
152;283
138;285
142;285
134;284
142;283
138;283
150;284
157;283
138;282
150;285
126;285
161;283
142;282
134;283
148;283
137;281
134;284
145;283
150;283
158;282
138;283
138;280
140;283
148;284
141;281
137;282
136;282
152;281
148;281
134;282
142;282
136;283
174;281
148;281
141;282
146;283
133;281
138;282
136;282
137;284
138;282
136;282
134;280
150;281
150;282
146;280
133;280
137;281
148;282
145;282
137;282
153;281
148;281
146;281
148;282
129;281
145;281
142;282
165;281
142;281
140;281
156;283
145;282
144;283
134;281
134;281
149;282
142;282
137;282
168;281
144;281
145;281
147;282
140;282
150;281
145;281
136;279
133;282
148;281
145;280
155;280
137;280
142;281
140;281
141;280
149;280
145;282
145;283
143;282
141;281
182;282
149;280
142;282
141;283
134;282
154;281
138;283
153;281
177;281
138;281
146;282
177;280
143;281
137;283
130;281
135;281
145;283
145;284
148;282
134;281
141;283
133;280
137;281
137;282
134;282
158;282
173;282
136;282
137;283
133;282
146;282
138;281
154;283
142;282
136;282
134;282
136;282
145;283
137;285
149;281
142;283
155;283
159;283
143;281
148;281
144;281
143;282
150;282
138;282
145;281
137;281
156;282
140;284
148;284
133;282
146;284
140;283
134;285
138;283
144;284
145;284
132;285
148;283
145;283
134;284
142;283
177;283
134;281
155;283
137;284
146;283
170;284
143;283
138;283
134;283
151;284
134;283
154;285
145;283
142;281
144;282
151;285
142;283
130;283
140;283
153;284
141;283
137;284
139;283
154;283
134;283
138;283
149;282
138;285
138;285
144;286
139;285
136;284
138;284
150;283
135;283
145;282
142;286
146;282
145;284
150;282
145;281
135;284
138;281
182;282
143;283
134;281
134;280
136;280
144;279
134;279
180;280
150;279
145;279
141;278
150;279
150;280
142;278
145;277
140;281
149;279
142;276
145;275
146;278
175;274
141;275
137;275
134;274
134;273
134;274
142;272
139;272
133;271
186;271
150;270
144;270
166;269
137;271
144;269
141;269
134;268
139;268
136;269
134;267
134;268
144;268
146;267
150;267
148;268
142;266
177;263
150;263
135;264
144;263
142;262
138;264
149;264
150;263
133;262
138;264
138;262
129;263
136;264
144;262
141;263
154;263
145;264
141;261
134;262
134;260
188;263
137;260
132;263
136;262
137;261
144;261
129;259
142;261
153;261
186;259
146;260
145;260
144;260
130;260
135;259
133;257
151;259
138;259
146;257
137;257
137;259
134;258
145;256
147;257
150;257
145;256
143;256
141;257
136;257
144;256
140;256
137;255
148;255
145;256
141;255
138;253
141;256
141;254
140;253
176;254
134;254
147;255
145;254
153;255
146;254
145;253
137;254
138;253
140;253
155;253
150;252
137;253
153;255
154;254
138;254
138;253
166;254
143;253
150;253
136;253
142;254
138;254
144;254
136;254
144;256
169;254
149;256
182;256
185;254
145;253
144;254
137;255
130;255
142;255
170;255
153;253
154;253
133;253
137;254
151;254
145;254
133;253
146;256
149;253
150;254
142;254
138;256
150;255
137;257
148;256
136;256
134;257
136;255
146;256
145;254
148;254
142;256
152;255
146;255
148;254
134;255
154;255
154;256
134;255
142;255
150;255
144;256
142;254
135;255
146;256
148;256
149;255
145;256
149;256
150;256
142;256
146;255
142;254
145;256
148;255
144;256
138;254
141;255
153;256
149;259
149;255
158;256
143;256
149;257
146;258
134;257
145;257
150;256
138;256
138;258
144;257
137;257
145;257
150;257
145;257
146;258
144;258
184;258
136;256
145;258
142;257
142;258
154;259
134;258
135;257
143;258
135;259
143;258
143;258
150;260
140;259
148;261
141;260
137;262
148;261
152;262
150;261
153;261
140;263
140;264
148;263
145;262
146;263
150;262
149;263
135;253
146;252
145;253
139;252
141;252
133;252
196;254
158;254
137;255
134;254
134;254
138;254
148;254
136;255
155;255
137;256
153;255
150;256
142;254
149;256
150;256
150;256
157;258
137;254
153;255
142;255
138;257
139;256
142;255
148;256
140;259
153;257
142;258
146;256
142;258
140;259
142;257
152;260
140;258
133;260
145;257
138;260
142;260
140;260
134;259
145;258
150;259
138;260
145;259
153;260
139;261
138;260
132;259
138;258
149;260
149;260
134;260
134;260
134;260
153;260
136;260
150;261
131;261
141;262
169;261
134;262
140;262
149;262
150;264
145;263
132;261
149;263
135;264
149;262
153;264
141;263
142;265
150;264
150;265
148;262
144;263
145;263
158;265
166;263
148;265
141;266
150;264
162;266
146;267
137;265
148;265
150;266
140;264
145;266
157;267
145;266
182;266
138;265
150;267
148;267
140;266
158;268
142;267
134;267
136;268
150;266
138;266
134;266
145;267
141;269
182;267
142;267
150;267
146;269
153;269
150;269
140;269
144;269
145;269
148;270
134;270
156;269
146;269
142;269
134;269
146;270
134;271
137;269
137;270
136;269
146;271
156;270
134;271
185;270
140;271
145;270
152;273
153;272
138;271
140;272
142;270
148;272
150;272
150;272
138;272
145;272
145;271
137;271
129;272
134;271
144;272
141;273
152;272
136;272
178;272
146;273
153;273
144;273
142;273
149;275
137;273
148;276
140;275
133;274
153;275
140;275
145;275
142;274
150;274
142;276
150;275
170;275
148;276
166;275
181;274
154;276
145;276
142;275
153;275
142;277
133;276
150;277
146;278
132;276
150;279
150;277
154;278
145;277
145;279
159;278
148;278
137;278
137;278
161;278
136;280
137;279
138;279
134;280
148;279
140;278
149;279
138;281
138;282
145;280
141;281
185;281
154;281
160;281
133;281
142;281
130;281
146;281
145;281
151;283
138;284
143;284
142;282
153;282
146;282
137;283
146;283
134;282
147;283
150;284
142;282
138;282
146;282
142;282
150;283
141;282
144;283
142;283
148;283
146;283
153;284
132;285
137;285
150;283
145;285
146;283
130;284
137;285
153;286
137;284
134;285
136;286
149;285
138;285
137;285
138;286
146;253
134;254
129;253
154;254
150;255
134;253
137;254
145;253
153;253
137;255
146;255
142;255
145;255
182;254
144;257
142;255
145;257
151;255
143;257
141;255
145;257
142;260
154;255
142;256
145;258
145;255
144;256
136;256
138;256
140;257
150;257
150;257
181;256
142;255
150;256
141;259
156;257
146;257
150;256
150;258
134;256
138;256
137;258
142;257
150;258
133;257
149;258
144;257
135;259
145;259
136;259
141;259
149;258
152;257
170;259
136;258
137;258
149;259
144;260
154;260
141;261
149;260
150;260
151;260
145;263
135;260
150;260
161;260
143;260
153;261
145;262
150;262
150;262
145;262
136;261
196;260
150;260
137;261
153;262
137;261
145;262
142;264
154;261
137;262
154;264
147;262
135;261
133;265
142;263
150;263
161;262
152;263
142;263
165;263
156;264
134;263
145;263
130;265
146;265
138;266
134;265
152;264
150;265
148;263
144;266
151;266
151;265
150;265
170;265
149;267
132;266
134;268
153;267
149;267
137;269
146;267
134;266
138;266
142;267
138;267
142;269
137;268
140;271
145;267
146;268
137;270
146;269
145;268
144;269
134;267
140;270
148;268
137;268
150;269
145;268
146;267
148;268
142;269
138;272
138;270
134;269
145;270
137;270
138;271
136;270
142;270
139;270
145;272
137;271
145;271
152;271
149;273
150;273
148;272
144;273
144;274
142;273
149;272
149;272
156;273
152;274
153;273
148;272
149;272
145;274
152;273
142;274
140;274
150;274
137;274
168;274
156;274
153;275
144;273
145;274
134;274
137;275
144;275
142;275
152;274
153;277
152;276
134;275
146;275
151;276
136;277
138;276
129;276
138;278
142;277
149;278
182;278
150;277
134;280
130;278
150;278
140;279
141;278
137;277
132;277
132;277
153;278
134;279
145;279
148;278
137;279
153;279
142;279
144;280
130;278
137;281
153;281
145;281
134;280
154;281
148;281
143;280
142;283
142;281
150;281
137;279
146;281
154;283
154;282
142;281
186;283
137;281
154;282
151;282
143;284
142;283
138;284
148;283
134;283
140;283
137;284
145;284
137;284
145;283
145;284
142;285
134;286
147;283
129;285
137;284
136;286
153;285
151;285
149;285
141;285
145;255
150;257
140;255
152;254
133;253
