peak;degree
55;0
37;4
41;10
-42;223
53;22
-34;206
58;39
-47;214
50;51
-40;230
22;17
-47;236
41;26
30;39
-43;251
37;29
78;78
-39;227
-42;251
33;35
62;75
-48;258
45;26
-31;246
42;17
84;68
-44;204
-47;239
52;40
-34;248
54;39
46;45
-34;254
44;45
-43;246
54;27
-34;244
25;20
73;65
-34;201
-42;227
25;35
-24;223
-36;250
32;26
53;68
-47;249
46;44
46;45
-36;245
33;15
77;63
-47;211
45;39
-50;242
42;24
65;75
-43;220
56;50
-38;232
41;46
41;47
-47;241
46;29
-39;242
54;39
-34;223
-38;248
21;16
62;66
-34;216
41;35
-41;228
42;26
62;69
-39;226
-59;252
39;21
78;65
-36;219
-71;246
70;34
-40;244
34;26
53;71
46;42
-42;249
25;20
77;69
-39;227
50;48
32;22
82;70
-38;204
29;38
-55;246
25;16
86;68
-46;227
49;41
-46;249
50;38
-34;246
55;44
-47;238
32;21
68;70
-38;212
-36;243
36;36
-46;248
41;24
84;72
-42;213
-46;232
58;42
-40;242
37;32
45;40
-42;243
33;24
40;39
-38;246
46;34
41;40
-35;246
29;25
38;43
-54;245
46;20
60;68
-43;227
44;36
34;34
-36;245
33;25
82;72
-58;246
42;23
62;66
-39;229
33;37
-55;241
33;22
63;67
-34;210
30;33
-40;248
41;26
82;69
-44;219
-48;249
29;20
78;69
-39;204
-34;228
18;25
-46;248
38;23
94;73
-26;198
-47;224
50;38
-55;242
50;37
-35;246
57;42
-46;244
26;25
84;71
-54;249
38;31
61;73
-34;215
-34;242
44;39
-39;229
42;40
-32;247
35;25
63;70
-38;203
-50;230
49;40
-31;230
50;43
-52;244
26;20
86;68
-38;213
-52;243
46;34
-46;248
37;20
41;46
-34;243
38;37
42;35
-48;251
38;20
50;39
-39;243
39;27
57;67
-39;206
-36;242
42;33
-34;222
18;22
90;71
-35;214
-39;242
34;41
-47;242
42;40
-34;222
-56;252
30;17
94;66
-50;219
42;42
-56;244
41;26
65;67
-70;248
46;28
-43;242
33;29
92;72
-42;213
-55;230
50;37
-32;219
-42;247
41;24
-38;242
54;34
40;38
-32;242
48;38
60;76
-58;214
-38;244
34;29
62;73
-51;210
-50;245
46;28
-31;222
-38;249
-39;206
-43;221
-66;247
41;25
38;51
-42;225
22;24
69;63
-31;209
-63;242
42;22
78;66
-42;213
-75;248
58;40
-42;227
43;36
90;73
-36;199
-47;223
-50;248
40;33
98;72
-43;202
-63;224
-38;251
35;22
74;61
-39;214
-55;244
38;37
-31;223
-51;251
32;17
49;42
-42;225
30;21
53;56
-50;219
21;23
109;68
-44;203
-50;228
-55;254
42;19
76;56
-37;215
-59;243
40;23
54;66
-50;245
42;28
79;67
-46;208
-48;228
53;42
-39;220
-63;246
25;15
78;47
-63;245
24;16
40;39
88;68
-43;203
-46;229
-79;250
22;9
63;37
110;72
-44;203
-66;231
41;31
96;76
-47;203
-47;222
-58;274
23;11
58;35
81;69
-38;205
-58;227
33;24
89;75
-38;202
-42;224
-76;253
29;19
60;38
103;75
-59;203
-51;230
57;51
-80;242
45;29
85;65
-40;212
-48;231
49;45
-71;247
38;16
70;43
-50;224
37;30
-35;225
46;34
-46;247
30;21
58;42
-32;220
-55;249
36;19
70;45
-74;242
28;21
82;51
-48;234
17;20
62;44
-50;244
38;24
78;68
-50;216
-47;253
33;18
45;45
-38;222
65;45
-43;238
-42;251
41;32
98;70
-44;204
-56;228
-63;251
24;12
74;36
63;73
-47;204
-71;243
57;38
86;70
-48;200
-47;238
33;23
86;68
-43;206
-46;224
46;41
57;68
-40;207
-70;239
78;45
-48;238
50;38
78;71
-32;201
-88;226
23;21
28;39
106;72
-59;215
-98;252
48;24
84;41
-43;219
-60;246
40;20
77;47
-38;212
-55;250
26;10
30;38
94;66
-46;205
-50;226
41;42
-75;247
50;33
-34;227
28;21
58;46
-39;219
-59;251
33;18
77;49
-47;220
-66;248
25;20
68;44
-38;217
-69;249
26;12
49;37
109;78
-38;198
-62;221
-66;274
57;31
54;65
-42;215
-38;233
52;35
-63;247
44;21
98;66
-59;211
-67;252
22;11
49;35
64;65
-34;206
-62;241
41;23
113;73
-54;204
-59;229
22;20
63;48
-60;246
26;17
64;44
-42;221
-64;252
69;29
-36;230
40;33
54;67
-39;227
-59;250
48;24
105;69
-40;208
-74;241
26;23
68;43
-39;221
-55;247
37;19
54;43
-55;244
34;23
58;50
-44;222
-40;242
49;35
-63;248
46;20
62;46
-34;219
-44;210
-90;245
30;19
44;39
73;63
-47;218
-87;240
33;18
24;38
80;59
-50;218
-68;250
29;14
43;25
62;44
66;72
-47;211
-87;245
29;15
46;35
97;72
-49;211
-98;228
49;34
68;69
-52;214
-91;246
48;27
54;40
77;69
-50;205
-50;226
22;32
53;45
-55;223
-50;254
22;12
22;26
33;40
70;65
-55;213
-71;248
24;18
47;40
122;69
-46;203
-50;224
-89;249
25;18
54;32
57;60
-55;220
-52;245
33;21
31;36
101;68
-63;214
-88;244
26;18
26;33
41;43
89;70
-70;215
-50;231
34;28
42;62
-59;223
-82;249
41;20
46;39
80;67
-42;207
-70;240
65;39
86;69
-55;205
-74;247
26;17
91;62
-50;214
-62;239
19;20
49;39
-50;225
57;37
94;70
-66;209
-74;247
70;40
41;63
-50;219
-94;246
41;23
74;42
78;70
-54;203
-119;247
30;17
49;34
52;50
-55;225
-67;250
45;25
81;47
-51;216
-74;251
17;8
44;23
66;40
68;68
-43;212
-70;225
-74;253
31;16
64;38
110;68
-44;202
-76;233
41;30
89;70
-50;206
-95;243
50;30
73;44
61;74
-59;207
-58;226
45;36
65;67
-42;215
-95;249
25;10
25;21
89;46
70;72
-55;208
-39;239
46;46
78;69
-64;212
-73;242
44;29
50;48
-47;227
31;26
60;53
-59;219
-50;245
24;20
36;37
76;60
-51;215
-62;248
49;27
17;42
74;69
-68;221
-50;243
22;18
40;39
74;67
-48;212
-86;246
30;16
53;36
32;61
-41;221
-60;243
21;19
32;32
71;49
-47;226
-92;252
22;15
53;26
57;60
-34;218
-59;243
52;37
82;69
-54;206
-38;229
37;36
81;63
-55;211
-92;248
33;13
36;31
117;63
-63;214
-84;247
52;30
68;44
-47;222
20;31
60;49
-47;217
-63;249
45;22
80;52
-47;219
-96;255
17;3
82;39
88;67
-46;211
-60;236
30;27
78;61
-62;221
-80;252
24;13
25;23
48;37
73;72
-70;221
-63;247
17;19
34;26
78;59
-49;218
-62;248
30;23
68;43
67;69
-56;213
-68;242
17;23
30;31
65;58
-55;218
50;40
62;74
-50;203
-64;235
20;28
43;43
84;67
-34;207
-71;227
30;22
48;42
65;68
-63;211
-84;245
25;24
62;39
99;73
-63;207
-62;229
25;0
20;9
58;25
72;48
-66;206
-71;234
33;11
41;29
82;50
-74;211
-60;239
31;15
46;27
69;51
-54;209
-90;242
33;12
18;24
89;44
-65;214
25;20
33;32
65;43
69;68
-67;213
-95;245
46;23
43;34
41;55
-55;214
-71;243
41;24
68;41
102;65
-60;202
-122;241
44;22
42;34
58;59
-66;224
-72;249
25;14
53;36
90;51
-63;224
-55;251
30;18
34;29
55;41
89;69
-52;209
-75;234
30;24
38;40
71;53
-90;238
30;19
61;37
65;58
-70;216
-90;247
53;24
66;42
62;66
-58;218
-79;240
42;25
46;42
44;68
-56;222
-55;249
40;23
50;44
82;68
-59;215
-54;248
21;29
46;39
82;70
-59;208
-97;243
52;22
65;43
21;67
-58;217
43;30
64;52
-63;222
-80;250
33;20
74;36
66;67
-58;219
-66;242
33;29
72;45
78;70
-42;206
-66;224
-59;246
52;37
93;71
-87;217
-110;250
24;5
41;21
66;32
64;61
-90;239
40;25
46;40
65;61
-54;223
-95;248
17;11
25;19
36;31
73;45
70;70
-53;214
-58;244
33;34
54;46
51;68
-55;215
-111;245
30;16
40;26
45;40
92;65
-63;221
-86;248
40;25
50;37
74;56
-74;217
23;25
54;38
44;64
-74;218
-75;246
31;21
33;35
92;53
-95;228
-66;253
34;14
38;27
56;42
80;68
-50;217
-68;247
30;14
41;35
78;48
62;73
-58;212
-82;241
24;18
39;29
50;43
52;66
-50;214
-79;227
39;30
41;42
86;64
-43;205
-58;228
18;32
50;45
81;67
-42;199
-78;221
26;32
54;43
74;69
-54;211
-67;228
-46;250
21;22
44;39
75;62
-58;218
-87;246
22;19
64;30
78;54
-64;220
26;31
34;44
87;65
-68;212
-68;244
19;21
70;40
74;65
